"","perf_mean_Tmax","perf_sd_Tmax","perf_mean_inf","perf_sd_inf","inst_mean_Tmax","inst_sd_Tmax","inst_mean_inf","inst_sd_inf"
"MC-UAMS",-0.0102970549762742,0.0701722802325111,0.048085522684399,0.0392476747358889,-0.0427893942660051,0.154460381631613,0.102716102607873,0.156255733759283
"4 Exp",0.264703566901222,0.064039440816881,0.276447976554319,0.0374124462427557,0.30480707048933,0.148560998755197,0.304807070489344,0.1485609987552
"PUBD",0.0498446278438849,0.0851641093077034,NA,NA,-0.0832075878422068,0.149751001737257,NA,NA
