"","perf_mean_Tmax","perf_sd_Tmax","perf_mean_inf","perf_sd_inf","inst_mean_Tmax","inst_sd_Tmax","inst_mean_inf","inst_sd_inf"
"MC-UAMS",0.131651568653344,0.0257668889119909,0.0935790811733394,0.0133270632929347,0.138181536697227,0.035254070516494,0.0404968654166604,0.01046306474555
"PUBD",0.120238380999702,0.0176506841443945,NA,NA,0.184598783685236,0.0375679491917352,NA,NA
