"","perf_mean_Tmax","perf_sd_Tmax","perf_mean_inf","perf_sd_inf","inst_mean_Tmax","inst_sd_Tmax","inst_mean_inf","inst_sd_inf"
"MC-UAMS",0.0357578262637865,0.0100502208804292,0.03275569885118,0.0076777930500644,0.040300670418425,0.0163986991514215,0.0176150840118078,0.011289308089872
"PUBD",0.020821852003888,0.0106929810349024,NA,NA,0.0286779271801928,0.0155386323884209,NA,NA
