"","perf_mean_Tmax","perf_sd_Tmax","perf_mean_inf","perf_sd_inf","inst_mean_Tmax","inst_sd_Tmax","inst_mean_inf","inst_sd_inf"
"MC-UAMS",0.372565746995512,0.0531273828699715,0.358413274434673,0.0495920115543225,0.332615259552963,0.0640596064455484,0.343296184747283,0.0509083339775324
"PUBD",0.36049105348487,0.0403730939069176,NA,NA,0.375187842722516,0.0655183543682764,NA,NA
