"","perf_mean_Tmax","perf_sd_Tmax","perf_mean_inf","perf_sd_inf","inst_mean_Tmax","inst_sd_Tmax","inst_mean_inf","inst_sd_inf"
"MC-UAMS",0.299367926466581,0.0566976007524476,0.20041919488955,0.0295125547665742,0.211410914846058,0.0507830984371876,0.20041919488955,0.0295125547665742
"4 Exp",0.860378131029326,0.0747209578392857,0.781252872606408,0.0619880603030918,0.75682428584497,0.0739658487380892,0.972717220930898,0.00729008997248611
"PUBD",0.278875128459916,0.049718513162342,NA,NA,0.219991348528118,0.0474475492307489,NA,NA
