"opt","p1","p2","p3","p4"
1,0.29958302463145,0.104240366609674,0.879483591820636,0.780247813157247
2,0.252502917510258,0.524899200533863,0.830136750576993,0.363136912446022
3,0.63916371248273,0.109228861564549,0.716066202328642,0.807879153171985
4,0.548279896663581,0.520687733673361,0.41621066412449,0.508012668012308
