"opt","p1","p2","p3","p4","p5","p6","p7","p8"
13,0.721587066731527,0.306082511550276,0.590146530214888,0.55504414542983,0.581621347936855,0.563495609621711,0.185661796334239,0.557071498240532
9,0.701923439745671,0.294151783287233,0.587332721233896,0.542747962905384,0.180718282045652,0.547858625209894,0.596927631397339,0.549524732136344
12,0.733365137839521,0.708256740847772,0.594655376066538,0.568109868382188,0.194714675856416,0.591168471224267,0.582489634472877,0.154681586789137
1,0.254774747770732,0.363153469047709,0.538653481463118,0.550442038913343,0.529563830583435,0.562189343166167,0.535997854195366,0.550122473805443
2,0.306173131963357,0.737293227970719,0.54225953033177,0.158045899309147,0.557387231780945,0.576643175996306,0.562644098668426,0.591016304774962
8,0.733282879861788,0.698190654679918,0.212593101569487,0.585516479565726,0.629087767218992,0.553419050649525,0.631272962572984,0.142498054761046
16,0.743869163042153,0.718339736676584,0.620856179087599,0.573376601207366,0.618245875561666,0.576366306892878,0.219820854097965,0.155721931844406
4,0.294059791258953,0.732592722076461,0.554632863886441,0.550102367636249,0.544057966145569,0.568330121110193,0.551299264159502,0.148307304994809
7,0.747251835920421,0.692627937038196,0.203698181825651,0.562909746724957,0.597335484819875,0.127652801935134,0.60594971414539,0.57484597513879
14,0.740354167390989,0.70191104560305,0.616247711218819,0.147671997036605,0.605057324335189,0.58242353039745,0.21200024195756,0.586585211210387
6,0.738139445915918,0.713155415174385,0.197062221550316,0.154635714274731,0.617847909439089,0.596517968825564,0.569591801201958,0.574451907444745
15,0.731443244856564,0.71005407006578,0.596514070715784,0.562139592752828,0.56941169575839,0.150353085511597,0.195005621640121,0.578874159496081
5,0.707080935136705,0.28171833899239,0.182736715202012,0.546346362181161,0.584126453551582,0.535553688549491,0.583477480487076,0.54256920078002
11,0.724713746601049,0.700324350860935,0.599024787713454,0.569867431652651,0.192284046841384,0.147554717464271,0.602413501890451,0.552725369799848
3,0.311208500212488,0.735543312716002,0.536890815089055,0.581965551997495,0.571066571094825,0.157367131859349,0.554825981810478,0.601940879821122
10,0.715349080418145,0.702276523730845,0.597337290784344,0.142273833728669,0.201098127672266,0.559244565031144,0.615547086402555,0.581898464442359
