"opt","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12"
30,0.681281679534217,0.688906180112986,0.629399489875451,0.616970031331975,0.65163181817,0.606508230852963,0.614308190378701,0.607771272776739,0.160504958010279,0.572188701205205,0.533032455186291,0.0990124388978385
26,0.627527438124611,0.600319724209474,0.626370834545174,0.155393373532899,0.587752063959354,0.565613630757702,0.580628985394899,0.545024231222369,0.129625778687167,0.527572265680038,0.560513909590512,0.495709378722369
14,0.626402526765644,0.623220841199899,0.609310981276872,0.180347867041812,0.139386843225664,0.558825191626441,0.558228785831592,0.551373078642634,0.535672432857028,0.545973207016677,0.537812966438726,0.532249132800156
27,0.656072515850708,0.61671385672055,0.629509218497213,0.60107369267404,0.596689908036092,0.141998203595386,0.582956599598628,0.546707766088741,0.144282889684863,0.507005880864248,0.523313502449275,0.535960535595506
15,0.644635637009369,0.656686998478291,0.58947271486014,0.595214330819067,0.147853711444094,0.141214203156477,0.553178816357889,0.567901120784947,0.552351596343947,0.51468034455278,0.546933357046059,0.511696624208624
1,0.168528520179974,0.210895293293828,0.561202019053263,0.581350757524676,0.548602179309165,0.544196725461871,0.533119817671098,0.555599766476176,0.529847437146473,0.525845313801047,0.521064198906091,0.515320461144445
13,0.633609599775483,0.186136570056824,0.598183226803489,0.57535715051309,0.136745507633123,0.557660306488373,0.582009561625024,0.528364175400336,0.513120914085255,0.522767603393568,0.52662877363856,0.512112212470467
2,0.170277374963529,0.624554489997505,0.550712351986932,0.173943834493774,0.542461084849227,0.574787937674387,0.544385925656659,0.549075206143962,0.520942379210825,0.525516791425708,0.526975781165053,0.527657957219633
7,0.623585505241089,0.205793112551863,0.157684736748643,0.59003175864894,0.554286170057048,0.537541069608883,0.538505501205492,0.52869685909854,0.519976958042364,0.519528184872557,0.527371683566772,0.511606712896851
23,0.62086938525367,0.672075141143675,0.612911965148762,0.650399103143818,0.601770533135352,0.622016974283048,0.148380727475334,0.611751466975587,0.567559337695169,0.130348841299534,0.493349760715078,0.527113364766646
8,0.618147836813354,0.608522974756007,0.155232812298451,0.179323728763486,0.554450004938527,0.556215886315545,0.54869247713201,0.559060092726063,0.54626013396128,0.536712637957342,0.519023408238949,0.536647981068789
17,0.640849845459865,0.638129722740081,0.59522418492744,0.629020341273938,0.146802336779693,0.62601816677939,0.564978174479198,0.617959691124457,0.602740329000798,0.121112947460384,0.520568048725686,0.543934482963936
6,0.196844185090954,0.689524844293247,0.582701848912689,0.653752730614093,0.543079926328781,0.628632037194528,0.522440213561235,0.599941518585068,0.556153942564137,0.564550308408982,0.564622577618737,0.100682793560886
9,0.643823178761715,0.630445051635677,0.165761495538338,0.595850333611577,0.555463872312022,0.148559929178015,0.547705030696842,0.565548034025411,0.535158989647161,0.55979956744797,0.514930657031439,0.545771817089397
10,0.622555529261689,0.624815330327801,0.168680494421462,0.617189328938853,0.593031888937522,0.573464168801879,0.529056170362008,0.131173062962062,0.545253727913825,0.551478150408975,0.516992754800295,0.506975319070209
33,0.674422047937503,0.59398422065702,0.644737468410151,0.591272351222805,0.634116405971447,0.144467092523005,0.656938361296579,0.571664762052716,0.605940528308758,0.514983667489306,0.145823084796672,0.510357441767984
21,0.625367888963154,0.606167604449224,0.596437925738948,0.568517335308526,0.606286245968421,0.138631573551315,0.140395841592619,0.545989710188528,0.549050906945818,0.586240138595316,0.540930393921705,0.527688098353885
3,0.183843802288082,0.633383903883409,0.56489410326644,0.609843690700507,0.525699366873249,0.148721851694081,0.52834485317062,0.553481838545553,0.50773774927008,0.531639399103243,0.512708168976272,0.517554047509147
5,0.180330837941606,0.68833693694707,0.568331387098914,0.634528688141162,0.511026790971634,0.592795600761461,0.533450976177206,0.577616047858843,0.541380329726417,0.131341599126796,0.509748229845026,0.549945497476367
12,0.634630419009984,0.661906922804832,0.178280251832921,0.639438410017654,0.581728485542641,0.616052436884066,0.528661106915732,0.620958250167047,0.575986623554313,0.614540770445517,0.550326795000867,0.105368507046693
20,0.638400070001693,0.605000483114477,0.621609886417769,0.162798390728158,0.597103995202935,0.574115440753177,0.146408043541131,0.553676934010765,0.570986342720348,0.505898057401133,0.56660430456377,0.524467388971902
36,0.703145312475972,0.652775358348153,0.682779000666924,0.617143757692538,0.685076669445261,0.61112831428647,0.607394105959684,0.642447270802222,0.634203406055458,0.527381226737052,0.153061022390611,0.0980088149243966
28,0.66463773633347,0.647321410150242,0.645505286689388,0.577821565803128,0.602051533691662,0.579225695124279,0.6185872855306,0.120082749744354,0.144240033076055,0.549537392028556,0.543515601040706,0.534882079301185
