"opt","p1","p2","p3","p4","p5","p6","p7","p8"
1, 0.99, 0.5, 0.9, 0.4, 0.8, 0.5,0.655172,0.5
2, 0.2, 0.05, 0.55, 0.3, 0.7, 0.6, 0.3, 0.1
3, 0.4, 0.4, 0.2, 0.1, 0.7, 0.3, 0.5, 0.3
4, 0.6, 0.4, 0.4, 0.25, 0.5, 0.2, 0.85, 0.4
