"opt","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12"
36,0.503472546659435,0.491332388050516,0.516084591916465,0.503344772117045,0.511543852478932,0.500916257484391,0.534382073997483,0.529147261512087,0.563579401317812,0.608336939814389,0.226147021161084,0.403775528879963
35,0.495088902309528,0.51339862905145,0.498078603467577,0.506691999994984,0.519178966268446,0.488376561150201,0.543147266907277,0.516579495934072,0.561195190618725,0.224999994411214,0.232580245658968,0.718109201643718
30,0.510719357343917,0.49646766600977,0.507063424737293,0.496695729540983,0.52595000451631,0.501229242879705,0.552748775532047,0.53281264767476,0.189295578032163,0.610416108125205,0.651929625158514,0.372098467869581
18,0.519662257986935,0.499286867670774,0.551613638660011,0.511769374561902,0.136850535724644,0.493611594611562,0.617811775521163,0.530125061845049,0.678705542578281,0.576693685073652,0.718232370406304,0.314178041871916
29,0.516140656332502,0.487017162866715,0.510855519642042,0.489468613568732,0.553692458641844,0.499641090287734,0.558040004861294,0.540395788776284,0.206488056132051,0.214113374451206,0.661043161897203,0.699963365046165
24,0.51198949423661,0.5010016793588,0.522831845133757,0.501197041100024,0.564624044907145,0.481128891714509,0.167876528780222,0.537151086901919,0.6370185818859,0.587787621892134,0.680243582084292,0.355934744676672
16,0.56482802669052,0.475048440194223,0.538683141718502,0.494598233379656,0.155616544681834,0.534027546609286,0.581611336502829,0.122810130316066,0.721994186271331,0.657398616013234,0.742660313576926,0.726585424374207
12,0.544862637226948,0.501082885534381,0.129473476293529,0.490408572439289,0.616282097799927,0.545487510853715,0.622340376193839,0.515175976779325,0.704150915830013,0.554411342357962,0.737741821628121,0.2767027305353
4,0.151500658626901,0.489800665537283,0.625470575546691,0.586664293281501,0.668429090583231,0.517471851645193,0.688312040952345,0.128588281018892,0.784164229601932,0.688849226261179,0.834426703038237,0.719458124270507
23,0.516288668618985,0.510510734593055,0.500476440357524,0.522914819214104,0.539779064591257,0.523603698620119,0.167307414448865,0.548615876210339,0.638492593522834,0.219164751150825,0.687959912557721,0.699495285747815
11,0.529559149023145,0.501486862709746,0.153048964487389,0.560830582011491,0.644060529245064,0.521680615706369,0.682248170189559,0.515493406513706,0.711064835149795,0.177098521882668,0.75097101640515,0.630648163592443
17,0.498359015751711,0.524881734673006,0.533742109161411,0.52138561752899,0.146251806962098,0.490919379687775,0.633548380660893,0.511815632156246,0.690352034276287,0.202142560619708,0.742071736611031,0.69350625330167
27,0.514545560257671,0.634987790836021,0.577896752556705,0.560165310551858,0.536271242728538,0.0580010218140872,0.576479130900344,0.678982310482989,0.372011379591878,0.715608231085555,0.823580552955442,0.857719779267664
33,0.478293825739196,0.532598382510644,0.392715903614382,0.506304970210684,0.497078047167244,0.0660185288870707,0.558049165344398,0.613954978529364,0.679974663919503,0.719591526929954,0.484948428663691,0.850148413330317
5,0.147149633222451,0.499696983839385,0.610961747927564,0.531662865514483,0.636385936002411,0.544477841481293,0.711015049248304,0.512148049386109,0.73208091805196,0.164126360134961,0.79362430512864,0.678655374083011
28,0.5325912329447,0.497685035769369,0.513622361640861,0.529337150888614,0.535821171031452,0.48077779746081,0.554250891321501,0.116871485710712,0.23858196467288,0.648835457409973,0.685736199021077,0.77406931413718
22,0.53547813945084,0.50078770416689,0.502772340945168,0.534078843397687,0.535392067049231,0.508580174972303,0.200035087504823,0.119564979574976,0.656739722351943,0.677580534189474,0.703140636094447,0.745184017430126
34,0.495955780109701,0.492745779925323,0.526099926623654,0.489797046806842,0.534919372385744,0.499727026755915,0.591659427163066,0.12499352853666,0.576670347709631,0.69371717611199,0.308719475460503,0.804259757393251
6,0.129122990130691,0.520016745421441,0.603151420271685,0.522642043576054,0.65157179937513,0.531768564546005,0.700951491852443,0.51956491507854,0.722907543017245,0.617128748592016,0.765723037863718,0.238014552547392
10,0.521607486490841,0.45592336781108,0.146880355520317,0.538932328990016,0.56206319881424,0.553331941912452,0.673623172131976,0.123717234178912,0.703099346294319,0.61405276439081,0.77661984965044,0.750580126992785
21,0.574817584717975,0.406904847854201,0.562371187610552,0.473385033608579,0.573600403800168,0.0746378220809514,0.287167715346988,0.672184900257408,0.768723701031002,0.728672518326408,0.703448272406069,0.849948584567755
15,0.55686611384486,0.52835314085574,0.467460186869305,0.471861707595443,0.176428375782312,0.0701321071412947,0.636695810909649,0.525822557425792,0.767367370509809,0.731605408763114,0.76585997496399,0.86536254910087
9,0.560739731682198,0.47408343495668,0.153169317836208,0.377999809570611,0.607429813061442,0.0666134650486388,0.581420339178294,0.693240931191083,0.797790645189317,0.712646016318883,0.801184879748949,0.854043995994808
3,0.182651709687586,0.774737779827168,0.536260463995859,0.728404731877769,0.922376777278259,0.0555684290981541,0.636415208612258,0.84019353465798,0.818110026651993,0.81924033521985,0.853007831688349,0.639361699965472
