"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
0,0,18,18,32.58,45.702,57.5118,68.14062,68.14062,68.14062,68.14062,68.14062,74.4168319218,80.06542265142,85.149154308078,89.7245127990702,93.8423354409632,97.5483758186669,100.8838121586,100.8838121586,103.585515593946,103.585515593946,103.585515593946,105.555057398313,107.327645022244,108.922973883781,110.358769859165,110.358769859165,111.521764599226,111.521764599226,112.463790338675,112.463790338675,112.463790338675,113.150527102734,113.768590190386,113.768590190386,114.269221291385,114.719789282284,114.719789282284,114.719789282284,115.048253347649,115.343871006478,115.609926899423,115.849377203075,115.849377203075,115.849377203075,115.849377203075,115.849377203075,115.849377203075,115.976630911897
0,0,18,34.2,34.2,34.2,34.2,31.542795,41.108733,49.7180772,47.780974755,54.754543557,61.0307554788,66.67934620842,65.4084132942555,69.9837717852477,74.1015944271407,77.8076348048444,81.1430711447777,80.3925979682927,83.0943014036387,82.4864181306858,84.6747979133161,86.6443397176833,86.2011928117007,87.7965216732381,87.4375726793922,88.7297890572375,89.8927837972983,90.939479063353,91.8815048028023,91.6695490114262,92.4325898603801,93.1193266244386,93.7373897120913,94.2936464909787,94.7942775919773,94.6816355942526,95.0871467860615,95.4521068586895,95.3699908423482,95.2960864276411,95.5621423205869,95.8015926242381,95.7477163059166,95.9416710518741,95.8980312340337,96.0551345782592,96.0197863258085,95.9879728986028
0,0,0,-4.05,10.53,23.652,20.69955,31.32837,28.9368855,35.39389365,41.205200985,46.4353775865,44.86632460605,43.454176923645,47.2669756661385,46.1231360433904,49.2115030248102,48.2849929303843,50.7865701853342,53.0379897147892,55.0642672912987,56.8879171101573,58.5292019471299,60.0063583004054,61.3357990183532,62.5322956645063,63.6091426460441,64.5783049294281,65.4505509844737,66.2355724340148,66.9420917386017,67.5779591127299,67.3871989004915,67.9022514735353,67.7477357016222,67.6086715069003,67.9841448326493,68.3220708258234,68.6262042196801,68.8999242741511,69.146272323175,69.0723679084678,69.2719098281772,69.4514975559156,69.6131265108802,69.7585925703483,69.8895120238697,70.0073395320388,70.1133842893911,70.0815708621854
0,0,0,-4.05,10.53,23.652,35.4618,46.09062,43.6991355,52.3084797,50.371377255,57.344946057,63.6211579788,69.26974870842,74.353480365078,78.9288388560702,83.0466614979632,86.7527018756669,85.9188427906836,88.9207354966235,91.6224389319695,94.0539720237809,96.2423518064112,98.2118936107784,99.9844812347089,99.5856490193245,101.021444994708,102.313661372554,102.022912687538,103.069607953593,104.011633693042,103.799677901666,104.56271875062,104.391034559606,104.236518787692,104.79277556658,105.293406667578,105.743974658477,105.642596860525,106.007556933153,106.336020998518,106.631638657347,106.897694550293,107.137144853944,107.083268535622,107.27722328158,107.451782552942,107.608885897167,107.75027890697,107.877532615793
0,0,18,18,18,31.122,31.122,31.122,38.2964535,44.75346165,44.75346165,49.9836382515,54.69079719285,58.927240240065,62.7400389825585,62.7400389825585,65.8284059639782,65.8284059639782,68.3299832189282,70.5814027483832,70.5814027483832,70.5814027483832,72.7697825310135,72.7697825310135,74.0992232489614,75.2957198951144,75.2957198951144,76.5879362729598,76.5879362729598,76.5879362729598,77.2944555775467,77.2944555775467,77.8667362142621,78.381788787306,78.8453361030455,79.262528687211,79.63800201296,79.9759280061341,80.2800613999908,80.5537814544618,80.8001295034857,81.0218427476072,81.2213846673166,81.2213846673166,81.3830136222812,81.5284796817493,81.6593991352706,81.7772266434398,81.8832714007921,81.9787116824091
0,0,0,-4.05,10.53,23.652,35.4618,32.804595,42.370533,40.21819695,47.96660673,54.940175532,53.37112255155,51.958974869145,57.042706525803,61.6180650167952,65.7358876586882,64.8093775642623,68.1448139041956,71.1467066101356,70.4712807512991,69.8633974783462,72.0517772609765,74.0213190653437,73.5781721593611,75.1735010208985,76.6092969962822,77.9015133741276,77.6107646891124,78.6574599551671,79.5994856946163,80.4473088601207,81.2103497090746,81.8970864731331,82.5151495607857,82.3760853660639,82.8767164670625,83.3272844579613,83.7327956497702,84.0977557223982,84.4262197877635,84.7218374465921,84.987893339538,84.9280307636252,85.1435360369113,85.0950473504219,85.0514075325815,85.208510876807,85.3499038866101,85.4771575954328
0,0,0,16.2,30.78,43.902,43.902,54.53082,54.53082,63.1401642,70.88857398,77.862142782,77.862142782,83.51073351162,83.51073351162,83.51073351162,83.51073351162,83.51073351162,86.8461698515533,86.8461698515533,89.5478732868993,89.5478732868993,91.7362530695296,93.7057948738968,95.4783824978273,95.4783824978273,96.914178473211,98.2063948510563,98.2063948510563,99.2530901171111,100.19511585656,100.19511585656,100.958156705514,101.644893469573,101.644893469573,102.20115024846,102.20115024846,102.651718239359,103.057229431168,103.057229431168,103.385693496533,103.681311155362,103.681311155362,103.681311155362,103.896816428648,104.090771174605,104.090771174605,104.247874518831,104.389267528634,104.389267528634
0,0,18,18,18,18,15.04755,23.019165,20.6276805,18.47534445,16.538242005,21.7684186065,20.19936562605,24.435808673265,28.2486074157585,31.6801262840027,34.7684932654224,37.5480235487002,40.0496008036501,42.3010203331051,44.3272979096146,46.1509477284732,47.7922325654458,49.2693889187213,48.8262420127386,48.4274097973543,49.5042567788921,50.4734190622761,51.3456651173217,52.1306865668627,52.8372058714496,53.4730732455779,54.0453538822933,54.5604064553372,55.0239537710767,55.4411463552422,55.8166196809912,56.1545456741653,56.458679068022,56.732399122493,56.6502831061517,56.8719963502732,57.0715382699826,57.251125997721,57.4127549526856,57.5582210121537,57.689140465675,57.8069679738442,57.9130127311965,58.0084530128135
0,0,0,16.2,30.78,30.78,30.78,41.40882,41.40882,50.0181642,57.76657398,64.740142782,64.740142782,64.740142782,64.740142782,69.3155012729922,73.4333239148852,73.4333239148852,76.7687602548185,76.7687602548185,79.4704636901645,81.9019967819759,84.0903765646061,86.0599183689734,87.8325059929039,89.4278348544413,90.863630829825,90.863630829825,92.0266255698858,92.0266255698858,92.9686513093351,93.8164744748394,94.5795153237933,95.2662520878518,95.8843151755045,96.4405719543918,96.9412030553905,96.9412030553905,97.3467142471994,97.3467142471994,97.3467142471994,97.6423319060281,97.9083877989739,97.9083877989739,98.12389307226,98.3178478182175,98.4924070895793,98.4924070895793,98.6338000993823,98.6338000993823
0,0,18,34.2,34.2,34.2,34.2,44.82882,44.82882,44.82882,50.640127335,55.8703039365,60.57746287785,64.813905925065,68.6267046675585,72.0582235358027,75.1465905172224,77.9261208005002,80.4276980554502,82.6791175849052,84.7053951614146,86.5290449802732,88.1703298172459,88.1703298172459,89.4997705351937,89.4997705351937,89.4997705351937,90.4689328185778,91.3411788736234,92.1262003231644,92.8327196277513,92.8327196277513,93.4050002644668,93.9200528375106,93.9200528375106,93.9200528375106,94.2955261632596,94.6334521564337,94.9375855502904,95.2113056047614,95.2113056047614,95.2113056047614,95.4108475244708,95.4108475244708,95.5724764794353,95.7179425389035,95.8488619924248,95.966689500594,96.0727342579462,96.0727342579462
