"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
0,0,16.2665676358156,26.8678355832151,36.531261756957,45.2246426769046,53.0487976160248,60.090533666648,66.4280962149927,72.1319025053908,77.2653281668432,81.8854112621476,86.0434860479216,89.7857533551183,93.1537939315952,96.1850304504244,98.9131433173708,101.368444897622,103.578216319849,105.567010599853,107.356925451856,108.96784881866,110.417679848782,111.722527775893,112.896890910292,113.953817731252,114.905051870115,115.761162595093,116.531662247572,117.225111934804,117.849216653312,118.41091089997,118.916435721962,119.371408061754,119.780883167568,120.1494107628,120.481085598508,120.779592950646,121.04824956757,121.290040522802,121.507652382511,121.703503056248,121.879768662612,122.03840770834,122.181182849495,122.309680476534,122.425328340869,122.529411418771,122.623086188883,122.707393481983,122.783270045774
0,0,11.2302240169235,21.1618107039139,30.1056691135519,38.1549737628443,45.399353139636,51.9192944181875,57.7872415738487,63.0683940137902,67.8214312097424,72.0991646860992,75.9491248148203,79.4140889306693,82.5325566349334,85.3391775687711,87.865136409225,90.1384993656336,92.1845260264012,94.0259500210921,95.683231616314,97.1747850520136,98.5171831441433,99.72534142706,100.812683881685,101.791292090848,102.672039479094,103.464712128515,104.178117512995,104.820182359027,105.398040720455,105.91811324574,106.386178518497,106.807437263979,107.186570134912,107.527789718752,107.834887344208,108.111275207118,108.360024283737,108.583898452694,108.785385204756,108.966723281611,109.129927550781,109.276811393034,109.409006851062,109.527982763287,109.635061084289,109.731431573191,109.818165013203,109.896225109214,109.966479195624
0,0,12.7011566939764,25.0752082101382,36.2251937656929,46.2603694529001,55.2920302404287,63.4205249869589,70.7361702593702,77.3202510045479,83.2459236752079,88.5790290788019,93.3788239420365,97.6986393189477,101.586473158168,105.085523613466,108.234669023234,111.068899892025,113.619707673938,115.915434677659,117.981588981008,119.841127854022,121.514712839734,123.020939326876,124.376543165303,125.596586619887,126.694625729013,127.682860927227,128.572272605619,129.372743116172,130.09316657567,130.741547689217,131.325090691411,131.850279393384,132.322949225161,132.748352073759,133.131214637498,133.475790944863,133.785909621492,134.065016430457,134.316212558526,134.542289073789,134.745757937525,134.928879914887,135.093689694513,135.242018496177,135.375514417674,135.495660747021,135.603792443434,135.701110970205,135.7886976443
0,0,15.2483980492689,24.5252505567169,34.0207962686277,42.2712464762786,49.7728432931818,56.5046379226192,62.56831700536,68.0243226820429,72.9350643535875,77.3546450908165,81.3322901232424,84.9121648856291,88.1340536584803,91.0337531707683,93.6434828306381,95.9922394990472,98.1061205071826,100.008613412811,101.720857028314,103.261876282154,104.648793610638,105.897019206267,107.020422242335,108.031484974795,108.94144143401,109.760402247303,110.497466979267,111.160825238034,111.757847670925,112.295167860526,112.778756031168,113.213985384745,113.605691802965,113.958227579362,114.27550977812,114.561063757002,114.818062337996,115.049361060891,115.257529911496,115.44488187704,115.61349864603,115.765253738121,115.901833321003,116.024754945597,116.135384407732,116.234950923652,116.324560787981,116.405209665877,116.477793655984
0,0,16.6234064516611,30.4505491788957,42.9723252909653,54.2366477195447,64.3748977990189,73.4992983213154,81.7112604659451,89.1020262818858,95.7537155240241,101.740235841417,107.128104127107,111.977185584225,116.341358895632,120.269114875898,123.804095258138,126.985577602153,129.848911711767,132.42591241042,134.745213039207,136.832583605116,138.711217114434,140.401987272819,141.923680415367,143.293204243659,144.525775689123,145.63508999004,146.633472860865,147.532017444608,148.340707569977,149.068528682808,149.723567684357,150.31310278575,150.843684377005,151.321207809133,151.750978898049,152.137772878074,152.485887460096,152.799190583915,153.081163395353,153.334938925647,153.563336902912,153.76889508245,153.953897444034,154.12039956946,154.270251482343,154.405118203938,154.526498253374,154.635740297866,154.734058137909
0,0,8.31042456347495,19.1415397371373,30.2637468312809,40.8371537065758,50.5842210987089,59.4512917547488,67.47048624529,74.7036818733393,81.2200853452573,87.0875246928547,92.369317351385,97.1233806124656,101.402221992528,105.253254856679,108.719215439313,111.838592675627,114.646037400178,117.17273978913,119.446772815293,121.493402898041,123.335370119786,124.993140679738,126.48513420845,127.827928394442,129.036443165996,130.1241064621,131.103003429294,131.984010700055,132.776917243858,133.490533133328,134.132787433872,134.710816304369,135.231042287819,135.699245672926,136.120628719523,136.499873461461,136.841193729204,137.148381970174,137.424851387046,137.673673862231,137.897614089898,138.099160294798,138.280551879208,138.443804305177,138.590731488549,138.722965953584,138.841976972116,138.949086888794,139.045485813805
0,0,12.8843229715712,26.2775811808869,38.4743198473962,49.4627310372811,59.3532026131276,68.25469865868,76.2660507906816,83.4762681616507,89.9654638314488,95.8057399371216,101.061988432454,105.792612078271,110.050173359508,113.881978512621,117.330603150423,120.434365324445,123.227751281064,125.741798642022,128.004441266884,130.040819629259,131.873560155398,133.523026628922,135.007546455094,136.343614298648,137.546075357848,138.628290311127,139.602283769078,140.478877881234,141.267812582175,141.977853813022,142.616890920783,143.192024317769,143.709644375056,144.175502426615,144.594774673017,144.97211969478,145.311730214366,145.617379681993,145.892464202858,146.140040271636,146.362858733537,146.563395349247,146.743878303386,146.906312962112,147.052504154965,147.184076228532,147.302491094743,147.409064474333,147.504980515963
0,0,14.0283675095998,23.3923530724068,32.8097727340526,40.9850502736836,48.4339672411656,55.1103245667334,61.1274429882355,66.5403012493698,71.4126470627852,75.7975235854979,79.7439836868977,83.2957761605731,86.4923959475108,89.3693517646968,91.958612604422,94.288947176791,96.3862483475775,98.273819384395,99.9726333226567,101.501565865537,102.877605154601,104.116040514615,105.230632338671,106.233764980309,107.136584357787,107.949121797515,108.680405493272,109.338560819452,109.930900613015,110.464006427221,110.943801660007,111.375617369514,111.76425150807,112.114022232771,112.428815885002,112.712130172009,112.967113030316,113.196597602792,113.403133718021,113.589016221726,113.756310475062,113.906875303063,114.042383648265,114.164341158946,114.274102918559,114.372888502211,114.461795527498,114.541811850256,114.613826540738
0,0,14.8658357509412,29.1719054233746,42.098298938319,53.7348518700181,64.2079033074708,73.6336580527922,82.1168377880176,89.7516995752423,96.623075185147,102.807313234138,108.373127478235,113.382360297922,117.89066983564,121.948148419587,125.599879145139,128.886436798135,131.844338685832,134.506450384759,136.902350913794,139.058661389925,140.999340818443,142.745952304109,144.317902641209,145.732657944599,147.005937717649,148.151889513395,149.183246129566,150.11146708412,150.946865943218,151.698724916407,152.375397992277,152.98440376056,153.532508952014,154.025803624323,154.469768829402,154.869337513972,155.228949330085,155.552599964587,155.843885535639,156.106042549586,156.341983862138,156.554331043434,156.745443506601,156.917444723452,157.072245818617,157.211566804266,157.33695569135,157.449805689725,157.551370688263
0,0,15.3438459658064,29.3925081974628,42.0439088044537,53.4304111137466,63.6782708781634,72.9013449104911,81.2021115473544,88.6728015207783,95.3964224968677,101.447681375348,106.893814365981,111.79533405755,116.206701779963,120.176932730134,123.750140585288,126.966027654927,129.860326017602,132.465194544009,134.809576217776,136.919519724166,138.818468879916,140.527523120092,142.065671936251,143.450005870793,144.695906411881,145.817216898861,146.826396337142,147.734657831595,148.552093176603,149.28778498711,149.949907616567,150.545817983078,151.082137312937,151.564824709811,151.999243366998,152.390220158465,152.742099270786,153.058790471875,153.343812552855,153.600332425737,153.831200311331,154.038981408365,154.225984395696,154.394287084294,154.545759504032,154.682084681797,154.804777341784,154.915200735773,155.014581790364
0,0,13.2507518617064,24.7367623031578,35.0425879782193,44.3155622476572,52.6610761066257,60.1720268716652,66.9318817191463,73.0157510214617,78.4912333892053,83.4191675198628,87.8543082374321,91.8459348832429,95.4383988644726,98.6716164475792,101.581512272375,104.200418514692,106.557434132776,108.678748189053,110.587930839701,112.306195225285,113.85263317231,115.244427324633,116.497042061724,117.624395325105,118.639013262149,119.552169405488,120.374009934493,121.113666410598,121.779357239092,122.378478984736,122.917688555817,123.402977169789,123.839736922364,124.232820699681,124.586596099267,124.904993958894,125.191552032559,125.449454298857,125.681566338525,125.890467174227,126.078477926358,126.247687603276,126.399976312502,126.537036150806,126.660390005279,126.771408474305,126.871325096429,126.96125005634,127.04218252026
0,0,11.3106356448121,22.1072808922416,31.8193631573411,40.5602760809251,48.4270974034735,55.5072365962173,61.8793618696673,67.6142746157725,72.7756960872671,77.4209754116123,81.6017268035229,85.3644030562425,88.7508116836902,91.798579448393,94.5415704366256,97.0102623260349,99.2320850265033,101.231725456925,103.031401844304,104.651110592946,106.108848466723,107.420812553123,108.601580230882,109.664271140866,110.620692959851,111.481472596938,112.256174270316,112.953405776356,113.580914131793,114.145671651685,114.653953419589,115.111407010702,115.523115242703,115.893652651505,116.227136319426,116.527271620556,116.797393391572,117.040502985487,117.25930162001,117.456220391081,117.633447285045,117.792951489612,117.936505273723,118.065703679422,118.181982244552,118.286632953169,118.380818590924,118.465585664903,118.541876031485
0,0,11.6229012352414,18.5127476687888,25.8280981315441,32.0640650860784,37.7850040147713,42.8999631568486,47.5140026752731,51.6633372245428,55.3987686154002,58.7603352963323,61.7858456762048,64.5087736920486,66.9594186836307,69.1649961244071,71.1500167735703,72.9365350605389,74.5444016115956,75.991481478587,77.293853367918,78.4659880654948,79.5209092941945,80.4703383997493,81.3248245948344,82.0938621703843,82.7859959883875,83.4089164245878,83.9695448171689,84.4741103704916,84.9282193684821,85.3369174666736,85.7047457550459,86.035791214581,86.3337321281625,86.601878950386,86.843211090387,87.060410016388,87.2558890497889,87.4318201798497,87.5901581969044,87.7326624122536,87.8609162060679,87.9763446205008,88.0802301934904,88.173727209181,88.2578745233026,88.333607106012,88.4017664304504,88.4631098224451,88.5183188752402
0,0,12.9721277239733,25.9370755679165,37.7246361031675,48.344437661675,57.9032744136793,66.5063212366957,74.2490720329066,81.2175485486499,87.489177486604,93.1336435375751,98.2136629840782,102.785680485989,106.900496237714,110.603830414267,113.936831173165,116.936531856173,119.63626247088,122.066020024117,124.25280182203,126.220905440151,127.992198696461,129.586362627139,131.02111016475,132.312382948599,133.474528454064,134.520459408982,135.461797268408,136.309001341892,137.071485008027,137.757720307549,138.375332077119,138.931182669731,139.431448203083,139.881687183099,140.286902265114,140.651595838927,140.979820055359,141.275221850147,141.541083465457,141.780358919236,141.995706827637,142.189519945198,142.363951751002,142.520940376227,142.662230138929,142.78939092536,142.903835633149,143.006835870158,143.099536083467
0,0,12.0883590197191,24.6548023659986,36.2843556734261,46.8115628051485,56.2975376375305,64.8370926057533,72.5231048429997,79.4405940959368,85.6663492537948,91.2695317069216,96.3123964475688,100.850974815149,104.935695365116,108.611943863714,111.920567513141,114.898328797755,117.578313953933,119.990300594497,122.161088571006,124.114797749865,125.873136010837,127.455640445712,128.8798944371,130.161723029349,131.315368762373,132.353649922094,133.288102965844,134.129110705218,134.886017670655,135.567233939549,136.180328581553,136.732113759356,137.22872041938,137.675666413401,138.077917808019,138.439944063176,138.765767692818,139.059008959495,139.322926099504,139.560451525513,139.77422440892,139.966620003987,140.139776039547,140.295616471552,140.435872860355,140.562103610279,140.67571128521,140.777958192648,140.869980409342
0,0,12.525363753885,26.4139325531258,39.0101960925121,50.3503971682068,60.5567096857942,69.7423958073451,78.0095134959741,85.4499194223561,92.146284756344,98.1730135569422,103.597069477481,108.478719805966,112.872205101602,116.826341867675,120.38506495714,123.587915737659,126.470481440126,129.064790572346,131.399668791345,133.501059188443,135.392310545832,137.094436767482,138.626350366966,140.005072606503,141.245922622085,142.36268763611,143.367776148732,144.272355810091,145.086477505315,145.819187031017,146.478625604148,147.072120319966,147.606265564202,148.086996284015,148.519653931846,148.909045814895,149.259498509638,149.574905934907,149.858772617649,150.114252632117,150.344184645139,150.551123456858,150.737368387405,150.904988824897,151.05584721864,151.191619773009,151.313815071941,151.42379084098,151.522769033115
0,0,15.0077717396058,27.1579322793727,38.3591840306067,48.3881206738506,57.4243993338142,65.5550426684751,72.8730153799515,79.4591136043759,85.3866171502242,90.721367371417,95.5226431529918,99.8437912421667,103.73282454483,107.232954512832,110.383071484896,113.218176759585,115.769771506838,118.066206779359,120.13299852463,121.993111095373,123.667212409041,125.173903591343,126.529925655415,127.750345513079,128.848723384977,129.837263469686,130.726949545923,131.527667014537,132.248312736289,132.896893885866,133.480616920486,134.005967651643,134.478783309685,134.904317401922,135.287298084936,135.631980699649,135.94219505289,136.221387970807,136.472661596932,136.698807860445,136.902339497606,137.085517971052,137.250378597153,137.398753160643,137.532290267785,137.652473664213,137.760638720997,137.857987272104,137.945600968099
0,0,15.3176856120117,26.5469613304037,36.7783492009155,45.9804828655376,54.2627022554291,61.7166850784105,68.4252703345133,74.4629970300162,79.89695105768,84.7875096824938,89.1890124448303,93.150364930933,96.7155821684254,99.9242776821685,102.812103644537,105.411147010669,107.750286040188,109.855511166755,111.750213780665,113.455446133184,114.990155250452,116.371393455992,117.614507840979,118.733310787466,119.740233439305,120.646463825961,121.46207117395,122.196117787141,122.856759739013,123.451337495697,123.986457476713,124.468065459627,124.90151264425,125.291615110411,125.642707329956,125.958690327546,126.243075025377,126.499021253425,126.729372858668,126.936689303387,127.123274103634,127.291200423856,127.442334112056,127.578354431436,127.700772718878,127.810949177576,127.910107990404,127.99935092195,128.07966956034
0,0,13.1965558258817,23.0891744497369,32.03573307708,40.0866952487827,47.3325816819449,53.8538790259293,59.7230466452225,65.0052975023751,69.759323273817,74.0379464681146,77.8887073429825,81.3543921303635,84.4735084390065,87.2807131167852,89.807197326786,92.0810331157867,94.1274853258873,95.9692923149779,97.6269186051595,99.1187822663228,100.46145956137,101.669869126912,102.7574377359,103.73624948399,104.61718005727,105.410017573222,106.123571337579,106.765769725501,107.34374827463,107.863928968846,108.332091593641,108.753437955956,109.13264968204,109.473940235515,109.781101733643,110.057547081958,110.306347895442,110.530268627577,110.731797286498,110.913173079528,111.076411293254,111.223325685608,111.355548638727,111.474549296533,111.581649888559,111.678040421383,111.764791900924,111.842868232511,111.913136930939
0,0,14.8034240389243,27.9467377941132,39.7689148213995,50.408616520284,59.9843382965172,68.6024875259233,76.358821818412,83.3395226811228,89.6221534575425,95.2765211563194,100.365452085219,104.945489921228,109.067523973636,112.777354620804,116.116202203255,119.12116502746,121.825631569245,124.259651456852,126.450269355698,128.421825464659,130.196225962725,131.793186410983,133.230450814416,134.523988777506,135.688172944286,136.735938694389,137.678927869481,138.527618127064,139.291439358889,139.978878467531,140.597573665309,141.15439934331,141.65554245351,142.10657125269,142.512497171952,142.877830499288,143.20663049389,143.502550489033,143.76887848466,144.008573680726,144.224299357184,144.418452465997,144.593190263928,144.750454282067,144.891991898391,145.019375753083,145.134021222306,145.237202144607,145.330064974677
